title,price,location,postdate
Room for Rent,$250,Kingsgrove,06/09/2020
CLASSY  AND  CLOSE  IN......................,$160,Surry Hills,13/08/2020
"Bargain share house room in Stanmore. Close to train, shops. Be quick!",$85,Stanmore,28/08/2020
Room for rent near Lidcombe station,$175,Lidcombe,08/09/2020
Iconic Maroubra Residence,$220,Maroubra,08/05/2020
Room to rent  5 mins walk to seven hills station,$150,Seven Hills,16/08/2020
Eastwood/Epping Big Master room with ensuite & independent entry,$260,Seven Hills,10 minutes ago
Great Private room in beautiful House,$190,Hurstville,14 minutes ago
One bedroom available,$180,Blacktown,15 minutes ago
Very large master bedroom with en-suite and walk-in wardrobe,$350,Bardwell Park,17 minutes ago
"Private Single Bedroom near Bondi Junction train, Beach and Park",$250,Bondi Junction,25 minutes ago
MOVE IN TODAY TO THIS CLEAN FRIENDLY FURNISHED HOUSE IN SYDNEY CBD,$160,Sydney City,32 minutes ago
MOVE TO THIS CLEAN FRIENDLY FURNISHED HOUSE IN SYDNEY CBD,$160,The Rocks,38 minutes ago
Single room near UNSW at Kensington,$180,Kensington,44 minutes ago
lovely room,$120,Kingsgrove,54 minutes ago
room for rent,$120,Toongabbie,58 minutes ago
Room for Rent in Schofields NSW,$175,Schofields,58 minutes ago
newly renovated single room for rent in riverwood,$170,Riverwood,0 minutes ago
Flatshare/1 Large bedrm 18sq.at2 bedrms.Apart.in secur.looking tenants,$250,Strathfield,2 hours ago
Own room for rent at Glebe include bills,$250,Ultimo,2 hours ago
Modern room in Inner West all Bills Included,$170,Marrickville,2 hours ago
Room for rent available in Redfern,$150,Redfern,2 hours ago
"Rooms Marsfield/Eastwood, close to Macquarie University, train station",$175,Marsfield,2 hours ago
"Marsfiled Single Room $175/W, near MQ University",$195,Marsfield,2 hours ago
"City Pyrmont Own Room. Safe, Clean, Comfortable & Convenient Location",$110,Pyrmont,2 hours ago
Multiple bedrooms available for rent in Homebush West,$140,Homebush West,2 hours ago
Room for Rent (3-5 min walk to Blacktown Station),$220,Blacktown,2 hours ago
i everyone. ne private room for rent $300 weekrivate bedroom wi,$295,Darlington,2 hours ago
Fully furnished spacious room | 5km to City,$180,Rosebery,2 hours ago
One Small Room,$200,Sydney City,2 hours ago
"Large Disinfected Clean, Neutral Bay Security Apt 15mins to City!",$230,Neutral Bay,01/07/2020
ROOM ON RENT IN QUAKERS HILL.. Not to be missed opportunity,$190,Marayong,26/08/2020
"Blacktown Room for Rent, Houseshare & Flatshare",$170,Blacktown,Yesterday
2 Rooms available for Females - North Parramatta - Utilities INCLUDED,$160,North Parramatta,28/08/2020
Room for Rent Single Private $120 Cheap and Clean near Train,$120,Homebush West,08/09/2020
Private room with own Bathroom( all bills are included!!),$285,Pyrmont,Yesterday
One Small Room,$200,Sydney City,2 hours ago
DON'T MISS OUT! CALL NOW - BEST Home. Dble rm Furnished,$270,Baulkham Hills,2 hours ago
Room for rent,$370,Blacktown,2 hours ago
NICE FURNISHED BEDROOM AVAILABLE,$220,Canterbury,2 hours ago
Share accommodation,$250,North Parramatta,3 hours ago
Female or Two Wanted For To Share At Macquarie Park,$300,Macquarie Park,3 hours ago
Surry Hills furnished single room in Cleveland Street,$160,Surry Hills,3 hours ago
Sharing accommodation in Toongabbie,$189,Toongabbie,3 hours ago
Glebe furnished single room in Glebe pt.road near shops,$180,Glebe,3 hours ago
Student Accommodation – Walk UNSW & Coogee Beach,$150,Randwick,3 hours ago
Auburn share house,$160,Auburn,3 hours ago
Spacious Master Bedroom w Ensuite and Balcony in Westmead,$250,Wentworthville,3 hours ago
Burwood Furnished Single room/Studio $180~$320 Walk to Station,$180,Cheltenham,3 hours ago
One bedroom available with all bills included,$220,Mays Hill,3 hours ago
Private room in Double Bay $220 ,$220,Double Bay,3 hours ago
Master room own bathroom balcony 5 min to Redfern station ATP USYD UTS,$295,Redfern,3 hours ago
hatswood house brand new studio for rent,$270,Chatswood,4 hours ago
Beautiful room close to city & redfern station price from $200 pw,$200,Redfern,4 hours ago
Single rooms for rent in Strathfield,$190,Strathfield,4 hours ago
Looking for a girl housemate,$190,Ultimo,4 hours ago
Sydney CITY CBD Private Living Room (Female),$100,Haymarket,4 hours ago
medium size room at Chatswood / 250/weekly,$250,Chatswood,4 hours ago
Small and large rooms available close to USYD clean and quiet,$170,Marrickville,4 hours ago
Merrylands 2 mins station move now,$175,Merrylands,4 hours ago
Very large master bedroom with en-suite and walk-in wardrobe,$350,Bardwell Park,17 minutes ago
FEMALES SHARED ROOM,$140,Auburn,08/09/2020
Room for Rent Single Private $120 Cheap and Clean near Train,$120,Homebush West,08/09/2020
"Boarding House, FURNISHED Flat  $230 p/w & all BILLS included.",$230,Concord West,10 hours ago
Room for rent,$170,Marsfield,18/07/2020
room for rent,$175,Blacktown,02/09/2020
$150 single room available for a female only,$150,Bankstown,4 hours ago
Room for Rent - Coogee,$300,Coogee,4 hours ago
Wanted: Second bedroom available,,Rockdale,4 hours ago
RENT FOR TELUGU INDIANS,$270,Homebush,4 hours ago
Twin or private room available now,$125,Pyrmont,4 hours ago
City Discounted accommodation ,$149,Haymarket,4 hours ago
Study room available for LADY $150/week,$150,Ultimo,4 hours ago
Single Room and Master Room En-suite Available:),$340,Haymarket,4 hours ago
Room for rent,$110,Lidcombe,4 hours ago
Extra large room for rent,$155,Blacktown,4 hours ago
room for rent,$170,Carramar,4 hours ago
Inner city double room (private),$50,Woolloomooloo,4 hours ago
Room for rent / house share,$220,Lalor Park,5 hours ago
Great House Awesome Location!,$250,Surry Hills,5 hours ago
Beautiful balamin beach house with your own bath,$345,Balmain,5 hours ago
room to let,$165,Summer Hill,5 hours ago
Your own big room fully furnished with double bed includes bills,$175,Lewisham,5 hours ago
CENTENNIAL PARK: 3RD PERSON FOR LOVELY T/HOUSE IN SPECTACULAR LOCATION,$300,Centennial Park,5 hours ago
Furnished roon for mon-smoking female,$205,St Marys,5 hours ago
Master room for rent in Sydney CBD,$300,Sydney City,5 hours ago
Lidcombe private master bedroom with ensuite bathroom for rent,$205,Lidcombe,5 hours ago
Room for rent,$165,Redfern,5 hours ago
Room available in modern Lewisham townhouse,$290,Lewisham,5 hours ago
PRIVATE ROOM FOR WOMEN,$170,Ryde,5 hours ago
"Wanted: 3-5 Waters rd , neutral bay ",$260,Neutral Bay,24/08/2020
Room for rent,$170,Marsfield,18/07/2020
"Large Furnished Single room at the Spot, Randwick",$210,Randwick,26/08/2020
Pyrmont Private Rooms x5,$150,Pyrmont,06/09/2020
Fabulous Co Living Property In Kensington. Utilities and WIFI included,$200,Kensington,07/09/2020
Value! Modern house - 5 Mins walk to North Sydney Station,$240,North Sydney,27/08/2020
Room available in modern Lewisham townhouse,$290,Lewisham,5 hours ago
PRIVATE ROOM FOR WOMEN,$170,Ryde,5 hours ago
Room,$120,Campsie,5 hours ago
BIG BEDROOM FOR RENT IN WEST HOXTON,$200,West Hoxton,5 hours ago
"Room Rent $160 including all ( 1 Female), $200 (excluding)for couple",$160,Merrylands,5 hours ago
New house for rent,$170,Merrylands,5 hours ago
Bedroom for rent,$200,Belmore,5 hours ago
Your own spacious private space at Rockdale Area Available Now,$195,Rockdale,5 hours ago
Furnished Room for female in Ashfield for rent $180 flatshare,$180,Ashfield,6 hours ago
ROOM WITH BEAUTIFUL VIEW FOR RENT IN ROCKDALE,$210,Rockdale,6 hours ago
Private room with own toilet for single or couple,$300,Waterloo,6 hours ago
Convenient friendly spacious room for rent,$185,Mortdale,6 hours ago
Private room with own toilet,$300,Zetland,6 hours ago
student accomodation unilodge broadway,$290,Ultimo,6 hours ago
Private Room in House Separate Entry & Separate Toilet,$150,Lakemba,6 hours ago
ROOM FOR RENT   - Free Air Con 4 summer - No Bills at all,$90,Wiley Park,6 hours ago
Flatmate in Luxury Penthouse,,Parramatta,6 hours ago
Studio available now near redfern train station and the University,$250,Redfern,6 hours ago
FURNISHED ROOM FOR COUPLE IN CREMORNE,$320,Cremorne,6 hours ago
Room for rent in Taren Point,$240,Taren Point,6 hours ago
Townhall apartment roomshare-male & female,$100,Haymarket,6 hours ago
Room for rent,$150,Doonside,6 hours ago
Room for rent for student or working person in Greenacre,$130,Greenacre,6 hours ago
One room available for vegetarian couple in merrylands only $220/w.,$220,Merrylands,6 hours ago
Two single rooms in Kensington. Bills included. First week FREE!,$170,Kensington,04/08/2020
Pyrmont Private Rooms x5,$150,Pyrmont,06/09/2020
Room for Rent - Very close to Parramatta and Harris Park Station,$260,Parramatta,05/09/2020
Room for rent,$200,Rockdale,24/08/2020
Room to Rent in a Neat and Tidy House,$230,Sydenham,03/09/2020
Rooms to rent Bondi,$155,Bondi,06/09/2020
FULLY FURNISHED DOUBLE BEDROOM REDFERN NO BILLS,$190,Redfern,7 hours ago
Single bedroom with balcony at Maroubra unction,$230,Maroubra,7 hours ago
2 Single boys or Couple in Pendle hill,$120,Pendle Hill,7 hours ago
Spacious room for rent in Homebush West,$350,Homebush West,7 hours ago
Live in style - Large Furnished Room Available in Randwick,$300,Randwick,7 hours ago
ROOM FOR RENT,$165,Wentworthville,7 hours ago
Room for rent,$170,Edmondson Park,7 hours ago
2 large private furnished rooms in our massive house...,$155,Marrickville,7 hours ago
Single room with Private Bathroom for rent,$220,Forestville,7 hours ago
Single Room: AUBURN NSW,$150,Auburn,7 hours ago
Private room available in clean house l 5 mins to Seven Hills Station,$160,Seven Hills,7 hours ago
Room for rent,$320,Wolli Creek,7 hours ago
✌️Shared TWIN room in Pyrmont near Darling Harbour / CITY CBD,$160,Sydney City,7 hours ago
Share flat inCBD -Central,$110,Chippendale,7 hours ago
Edgecliff........Darling Point.........Rooms To Rent..................,$200,Edgecliff,7 hours ago
***FULLY FURNISHED ROOM IN FANTASTIC LOCATION WITH CARPARK***,$175,Merrylands,7 hours ago
Room for rent in Randwick,$300,Randwick,7 hours ago
Room for Rent Burwood NSW,$180,Burwood,7 hours ago
Room with Privacy,$300,Westmead,7 hours ago
Furnished room available with bills,$155,Marsden Park,8 hours ago
Beautiful Fully Furnished Apartment Parramatta (For Indian Male),$150,Parramatta,8 hours ago
Beautiful house in punchbowl has 1 bedroom available for rent,$165,Punchbowl,8 hours ago
"Clean, Classic, Peace and Private room( Lady only)",$185,Strathfield,8 hours ago
ROOM FOR RENT IN BRIGHTON LE SANDS,$250,Brighton-le-sands,8 hours ago
Rooms available to rent in Banksia / Rockdale,$250,Banksia,07/04/2020
CLASSY  AND  CLOSE  IN......................,$160,Surry Hills,13/08/2020
Room for rent near Lidcombe station,$175,Lidcombe,08/09/2020
Room for Rent,$250,Kingsgrove,06/09/2020
Maroubra: BIG Room Clean House Close to Beach and transport No Bills,$300,Maroubra,23/08/2020
$170 - $290  MAROUBRA AVAILABLE NOW ,$170,Maroubra,14/06/2020
"Clean, Classic, Peace and Private room( Lady only)",$185,Strathfield,8 hours ago
ROOM FOR RENT IN BRIGHTON LE SANDS,$250,Brighton-le-sands,8 hours ago
Room for rent,$130,Quakers Hill,8 hours ago
Single Room in Botany,$170,Botany,8 hours ago
FLAT SHARE- SPACIOUS DOUBLE BEDROOM FOR RENT,$210,Homebush West,8 hours ago
Large Own Room in Rockdale Flatshare,$180,Rockdale,8 hours ago
NEW FULLY FURNISHED MASTER BEDROOM NEAR ST LEONARDS STATION FROM $280,$280,Greenwich,8 hours ago
1 private study room available $140,$140,Homebush West,8 hours ago
Epping room for rent 8 minutes walk to station female housemate wanted,$200,Epping,9 hours ago
Room available in Homebush West,$100,Homebush West,9 hours ago
Big private single room in Marrickville,$200,Marrickville,9 hours ago
Room,$125,Parramatta,9 hours ago
Share Twin Room Available In Chippendale - Near The Universities,$160,Chippendale,9 hours ago
Room for rent,$30,Seven Hills,9 hours ago
Flatmate/Flatshare/Housemate,$140,Belmore,9 hours ago
NEAT CLEAN & FRIENDLY FLATMATE HURSTVILLE (PREF VEG INDIAN),$165,Hurstville,9 hours ago
Room for Rent in Clean & Tidy Modern Flat. Private Bath & Furnished,$225,Homebush West,9 hours ago
room to rent,$150,Marrickville,9 hours ago
Affordable room for rent,$130,Dundas Valley,9 hours ago
Darlinghurst Furnished Room,$200,Darlinghurst,10 hours ago
Gorgeous home stay near the city with English teachers,$160,Darlington,10 hours ago
"Boarding House, FURNISHED Flat  $230 p/w & all BILLS included.",$230,Concord West,10 hours ago
"1 WEEK   FREE,,,,,,,,SHARE WITH INDIAN LADY",$95,Homebush,10 hours ago
"Surry Hills beautifu, Private queen room with an attached sunroom.",$270,Surry Hills,10 hours ago
"Bargain share house room in Stanmore. Close to train, shops. Be quick!",$85,Stanmore,28/08/2020
Ultimo- furnished room available,$260,Ultimo,13/08/2020
Rooms to rent Bondi,$155,Bondi,06/09/2020
Private master room with ensuite 2 min walk from Wolli Creek station,$320,Wolli Creek,27/08/2020
Furnished Ensuite Room for Rent in Unique One of a Kind Share House,$440,Surry Hills,06/09/2020
Room for rent,$180,Darlinghurst,05/08/2020
Room  to let,$2,Burwood,10 hours ago
Single room in Rockdale next to Rockdale Plaza ,$175,Rockdale,10 hours ago
Darlinghurst Private rooms in respectful home,$180,Darlinghurst,10 hours ago
Waverton / North Sydney CBD,$280,North Sydney,11 hours ago
Private room available in the middle of the city with balcony,$250,Darlinghurst,11 hours ago
Room Available,$130,Quakers Hill,11 hours ago
Large room in north ryde for rent $190 ( negotiable),$190,North Ryde,11 hours ago
Room for rent including bills,$190,Northmead,11 hours ago
Huge master bedroom with own full bathroom and WIR in Waterloo/Redfern,$300,Redfern,11 hours ago
Single room close to the city,$150,Redfern,12 hours ago
Ultimo Sydney - Inexpensive Single Room Rental near Darling Square,$200,Ultimo,14 hours ago
Private Room. 3 minutes walk to station. High rise secured building,$195,Rockdale,14 hours ago
"Private Room in Redfern, close to City, great for couples",$250,Redfern,14 hours ago
"Share Room, close to Redfern station and city",$120,Redfern,14 hours ago
single room including bills and cleaning,$155,Eastwood,16 hours ago
Private room only $250 in city,$250,Sydney City,16 hours ago
Room for rent in Auburn,$220,Auburn,16 hours ago
Room in Stanhope Gardens,$178,Stanhope Gardens,16 hours ago
Bondi Beach Fully Furnished Private Room,$500,Bondi Beach,17 hours ago
Sydney city single/double room for rent,$250,Sydney City,17 hours ago
"Kogarah large room $185, & master room 5 mins walk to train station",$185,Kogarah,18 hours ago
Private Room Chipendale 230$/Week,$230,Chippendale,18 hours ago
Furnished bedroom in two bedroom apartment above Balmoral,$325,Mosman,18 hours ago
Wanted: SINGLE ROOM FOR RENT CAMPSIE $180,$180,Campsie,18 hours ago
Kogarah Security Unit Large Room for rent(Close to station),$190,Kogarah,04/09/2020
Affordable single room steps to Coogee Beach,$264,Coogee,05/09/2020
Maroubra: BIG Room Clean House Close to Beach and transport No Bills,$300,Maroubra,23/08/2020
2 Rooms available for Females - North Parramatta - Utilities INCLUDED,$160,North Parramatta,28/08/2020
Pyrmont Private Rooms x5,$150,Pyrmont,06/09/2020
*Penthouse - Room Share  in North Ryde*,$160,North Ryde,12/07/2020
Room for Rent - Belmore,$180,Belmore,19 hours ago
room for rent in Rosehill,$175,Harris Park,19 hours ago
Bright Single Room closed MQ Uni,$170,Marsfield,19 hours ago
Looking for 1 female/ Sydney city- Townhall,$145,Sydney City,19 hours ago
Modern Apartments 1 bed room for rent,$200,Warwick Farm,19 hours ago
Room available - 5 mins from station,$175,Parramatta,19 hours ago
one room in a new modern house,$185,North Ryde,19 hours ago
room for rent,$150,Greenacre,19 hours ago
Room for rent in Bankstown- Yagoona 🌻,$170,Yagoona,19 hours ago
Single room: clean house every week&House always quiet,$165,Guildford,19 hours ago
"pping house rooms from rent from $160 per week, quiet & handy locatio",$160,Epping,19 hours ago
Looking for cool relaxed housemate,$280,Annandale,19 hours ago
A  full furnished room is available for rent near Lakemba.,$140,Lakemba,20 hours ago
Wanted: Private room with own bath room and Balcony for rent in Botany!,$280,Botany,20 hours ago
Room For Rent,$160,Hurstville,20 hours ago
FURNISHED ROOM RENT,$160,Rockdale,20 hours ago
Fully furnished apartment for rent,$260,Clemton Park,20 hours ago
Sharehouse in Maroubra close to the beach,$300,Maroubra,20 hours ago
Room to rent for family friends,$300,Merrylands,20 hours ago
Indian male shared accommodation,$150,Parramatta,20 hours ago
Short term Room for rent in heart of Bondi Junction,$250,Bondi Junction,20 hours ago
One bedroom in furnished townhouse - Chatswood,$300,Chatswood,20 hours ago
Double room in bondi beach,$400,Bondi Beach,20 hours ago
Room for rent,$170,Kings Park,20 hours ago
CLASSY  AND  CLOSE  IN......................,$160,Surry Hills,13/08/2020
"Bargain share house room in Stanmore. Close to train, shops. Be quick!",$85,Stanmore,28/08/2020
Large secluded room with on-suite and fireplace. Avalon Beach,$300,Avalon,21/08/2020
CBD KX Double/Twin Room for Rent - 2 min walk from train and shops!,$250,Woolloomooloo,18/08/2020
Maroubra: BIG Room Clean House Close to Beach and transport No Bills,$300,Maroubra,23/08/2020
Zetland room for rent,$350,Zetland,19/08/2020
Double room in bondi beach,$400,Bondi Beach,20 hours ago
Room for rent,$170,Kings Park,20 hours ago
Two rooms available for single person,$180,Burwood,20 hours ago
Perfect Accommodation of Green Square,$330,Zetland,20 hours ago
Private Room Available in Pyrmont ! $200,$200,Pyrmont,20 hours ago
Room available for rent in Toongabbie,$120,Toongabbie,20 hours ago
Living room available for $70/week inc bills,$70,Bankstown,20 hours ago
Room for rent Pymble - mins walk to station & shops,$190,Pymble,21 hours ago
Room for rent (attach washroom),$250,Blacktown,21 hours ago
AIRPORT LODGE INC BILLS & WiFi,$235,Botany,21 hours ago
Private room for rent in Parramatta,$190,Parramatta,21 hours ago
Beautiful room for female Wentworth Point $250 inc bills,$250,Ryde Area,21 hours ago
"Eastwood, Epping and Macquarie university",$160,Eastwood,21 hours ago
Bondi Junction CBD furnished and freshly renovated,$300,Bondi Junction,21 hours ago
"Price educed! 3 mins from station, private room with own bathroom",$240,Strathfield,22 hours ago
The single room available.,$250,Turrella,22 hours ago
Room Rockdale with Bathroom,$225,Rockdale,22 hours ago
Room Share closer to Station,$160,Blacktown,22 hours ago
Room Rockdale OWN  BATHROOM  (near Rockdale Plaza),$220,Rockdale,22 hours ago
Room for rent,$150,Liverpool,22 hours ago
Newly Renovated Room with own Bathroom $260 per wk incl Bills,$260,Stanmore,22 hours ago
Private female room - Sydney CBD,$370,Sydney City,22 hours ago
"3 mins walk to Hurstville westfield, one bedroom for rent",$189,Hurstville,22 hours ago
Room available near UTS/TAFE,$250,Ultimo,22 hours ago
Sydney City Double Room,$125,Sydney City,24/08/2020
Room for Rent,$250,Kingsgrove,06/09/2020
Attic Room available in Chippendale,$200,Chippendale,13/08/2020
Granville townhouse room for rent,$180,Granville,06/09/2020
CLASSY  AND  CLOSE  IN......................,$160,Surry Hills,13/08/2020
Flatmate  sharing a Huge 4  bedrooms home,$135,Mortdale,26/08/2020
2 big room looking for male in strathfield $170 $220 include bill,$170,Strathfield,22 hours ago
1 big room looking for males in burwood for $120 each include bills,$120,Burwood,22 hours ago
A sunny room for rent in Westmead,$180,Westmead,22 hours ago
Looking for housemate,$160,Schofields,22 hours ago
Room available for rent in Westmead!,$175,Parramatta,22 hours ago
En-suite Master Room in Chatswood CBD,$335,Chatswood,22 hours ago
Double Bed Rooms in a nice quiet house in Surry Hills,$265,Surry Hills,23 hours ago
Room for Single Girl*Negotiable*,$170,Seven Hills,23 hours ago
Room for rent fully furnished for Indian girls,$200,Homebush West,23 hours ago
Room for rent,$230,Auburn,23 hours ago
Room for single girl only*Negotiable*,$170,Blacktown,23 hours ago
Self Contained One Bedroom Flat Marrickville,$230,Marrickville,23 hours ago
Need flat for sharing for 2 female,$200,Strathfield,23 hours ago
2Br Modern Apartment to Share in Top Ryde,$250,Ryde,23 hours ago
Private Room For Rent In Hurstville Apartment,$250,Hurstville,23 hours ago
"Second Room for single or couple, Sydney CBD",$280,Sydney City,23 hours ago
Room to rent in glebe,$130,Glebe,24 hours ago
Single Room in apartment with 2 bedrooms and 2 bathrooms,$350,Bellevue Hill,24 hours ago
Room is available for rent,$140,Marayong,24 hours ago
Furnished shared room in Rockdale plaza,$175,Rockdale,24 hours ago
"Near Kogarah, luxury new townhouse with 1 room available",$250,Kogarah,24 hours ago
Wanted: Want place to park my campervan,$100,Sydney City,24 hours ago
"nviting house room, 3mins walk to train station",$210,Roseville,24 hours ago
"Master Room with Ensuite, 8 Minutes Walk to Station",$240,Parramatta,24 hours ago
"Share house room Rozelle nr CBD, shops, bus & eats 1ST 2 WEEKS FREE!",$130,Rozelle,28/08/2020
ONE WEEK RENT FREE | Big House | Couples Welcome,$230,Bondi Junction,28/08/2020
Near new master room with en-suite very close to killara train station,$280,Killara,28/08/2020
